Date,Generation,Coal ,Renewable
01/04/2015,2861,2861,0
02/04/2015,2856,2856,0
03/04/2015,2792,2792,0
04/04/2015,2798,2798,0
05/04/2015,2770,2770,0
06/04/2015,2875,2875,0
07/04/2015,2875,2875,0
08/04/2015,2875,2875,0
09/04/2015,2922,2922,0
10/04/2015,2946,2946,0
11/04/2015,2886,2886,0
12/04/2015,2650,2650,0
13/04/2015,2700,2700,0
14/04/2015,2700,2700,0
15/04/2015,2770,2770,0
16/04/2015,2809,2809,0
17/04/2015,2828,2828,0
18/04/2015,2836,2836,0
19/04/2015,2786,2786,0
20/04/2015,2917,2917,0
21/04/2015,3024,3024,0
22/04/2015,3003,3003,0
23/04/2015,2947,2947,0
24/04/2015,2966,2966,0
25/04/2015,2739,2739,0
26/04/2015,2788,2788,0
27/04/2015,2897,2897,0
28/04/2015,2899,2899,0
29/04/2015,2988,2988,0
30/04/2015,2952,2952,0
01/05/2015,2926,2926,0
02/05/2015,2981,2981,0
03/05/2015,2908,2908,0
04/05/2015,3007,3007,0
05/05/2015,3043,3043,0
06/05/2015,3095,3095,0
07/05/2015,3097,3097,0
08/05/2015,3111,3111,0
09/05/2015,3150,3150,0
10/05/2015,3060,3060,0
11/05/2015,3052,3052,0
12/05/2015,3074,3074,0
13/05/2015,3008,3008,0
14/05/2015,3011,3011,0
15/05/2015,3048,3048,0
16/05/2015,2990,2990,0
17/05/2015,2858,2858,0
18/05/2015,2973,2973,0
19/05/2015,2986,2986,0
20/05/2015,3001,3001,0
21/05/2015,3098,3098,0
22/05/2015,3116,3116,0
23/05/2015,3085,3085,0
24/05/2015,2973,2973,0
25/05/2015,3095,3095,0
26/05/2015,3166,3166,0
27/05/2015,3160,3160,0
28/05/2015,3145,3145,0
29/05/2015,3164,3164,0
30/05/2015,3188,3188,0
31/05/2015,3050,3050,0
01/06/2015,2925,2925,0
02/06/2015,2959,2959,0
03/06/2015,3029,3029,0
04/06/2015,3064,3064,0
05/06/2015,3068,3068,0
06/06/2015,3076,3076,0
07/06/2015,2980,2980,0
08/06/2015,3089,3089,0
09/06/2015,3070,3070,0
10/06/2015,3118,3118,0
11/06/2015,3099,3099,0
12/06/2015,3091,3091,0
13/06/2015,3013,3013,0
14/06/2015,2721,2721,0
15/06/2015,2874,2874,0
16/06/2015,2969,2969,0
17/06/2015,3036,3036,0
18/06/2015,3023,3023,0
19/06/2015,3051,3051,0
20/06/2015,2939,2939,0
21/06/2015,2769,2769,0
22/06/2015,2850,2850,0
23/06/2015,2847,2847,0
24/06/2015,2699,2699,0
25/06/2015,2630,2630,0
26/06/2015,2737,2737,0
27/06/2015,2793,2793,0
28/06/2015,2856,2856,0
29/06/2015,2943,2943,0
30/06/2015,2957,2957,0
02/07/2015,3032,3032,0
03/07/2015,3043,3043,0
04/07/2015,3010,3010,0
05/07/2015,2982,2982,0
06/07/2015,2966,2966,0
07/07/2015,3015,3015,0
08/07/2015,3019,3019,0
09/07/2015,2978,2978,0
10/07/2015,2915,2915,0
11/07/2015,2875,2875,0
12/07/2015,2758,2758,0
13/07/2015,2960,2960,0
14/07/2015,3121,3121,0
15/07/2015,3119,3119,0
16/07/2015,3077,3077,0
17/07/2015,3066,3066,0
18/07/2015,3040,3040,0
19/07/2015,2852,2852,0
20/07/2015,2915,2915,0
21/07/2015,2971,2971,0
22/07/2015,2987,2987,0
23/07/2015,3028,3028,0
24/07/2015,3027,3027,0
25/07/2015,2981,2981,0
26/07/2015,2711,2711,0
27/07/2015,2807,2807,0
28/07/2015,2846,2846,0
29/07/2015,2865,2865,0
30/07/2015,2885,2885,0
31/07/2015,2866,2866,0
01/08/2015,2827,2827,0
02/08/2015,2775,2775,0
03/08/2015,2877,2877,0
04/08/2015,2883,2883,0
05/08/2015,2887,2887,0
06/08/2015,2944,2944,0
07/08/2015,2975,2975,0
08/08/2015,2962,2962,0
09/08/2015,2915,2915,0
10/08/2015,3062,3062,0
11/08/2015,3041,3041,0
12/08/2015,3001,3001,0
13/08/2015,3005,3005,0
14/08/2015,3014,3014,0
15/08/2015,2904,2904,0
16/08/2015,2846,2846,0
17/08/2015,3007,3007,0
18/08/2015,3062,3062,0
19/08/2015,3052,3052,0
20/08/2015,3075,3075,0
21/08/2015,3054,3054,0
